TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
162	0.0324	-0.0603853	-0.0606288	-0.0599987	-0.0599979	-0.0599934	-0.0594436	-0.086355	-0.0950943	-0.0555358	-0.0563895
163	0.0326	-0.0603854	-0.0606296	-0.0599987	-0.0599979	-0.0599936	-0.0594475	-0.0862679	-0.09504	-0.0555085	-0.0563702
164	0.0328	-0.0603856	-0.0606305	-0.0599987	-0.0599979	-0.0599939	-0.0594513	-0.0861825	-0.0949873	-0.0554812	-0.0563508
165	0.033	-0.0603859	-0.0606315	-0.0599987	-0.0599979	-0.0599941	-0.0594555	-0.0860985	-0.0949361	-0.0554541	-0.0563314
166	0.0332	-0.0603863	-0.0606326	-0.0599987	-0.0599979	-0.0599943	-0.0594596	-0.0860161	-0.0948865	-0.0554271	-0.056312
167	0.0334	-0.0603868	-0.0606339	-0.0599987	-0.0599979	-0.0599946	-0.0594635	-0.0859351	-0.0948385	-0.0554001	-0.0562925
168	0.0336	-0.0603874	-0.0606353	-0.0599987	-0.0599979	-0.0599948	-0.0594672	-0.0858557	-0.0947921	-0.0553733	-0.0562731
169	0.0338	-0.0603881	-0.0606368	-0.0599987	-0.0599979	-0.059995	-0.0594708	-0.0857776	-0.0947472	-0.0553466	-0.0562536
170	0.034	-0.0603888	-0.0606384	-0.0599987	-0.0599979	-0.0599952	-0.0594748	-0.0857009	-0.0947038	-0.05532	-0.0562341
171	0.0342	-0.0603897	-0.0606401	-0.0599987	-0.0599979	-0.0599954	-0.0594787	-0.0856255	-0.094662	-0.0552935	-0.0562147
172	0.0344	-0.0603906	-0.0606419	-0.0599987	-0.0599979	-0.0599955	-0.0594824	-0.0855514	-0.0946217	-0.0552671	-0.0561952
