source	target	weight
W4200399668	W2143869343	1
W4200399668	W2144088704	1
W4200399668	W2145253719	1
W4200399668	W2145653840	1
W4200399668	W2146794131	1
W4200399668	W2147690681	1
W4200399668	W2149784701	1
W4200399668	W2150681916	1
W4200399668	W2154088722	1
W4200399668	W2155180319	1
W4200399668	W2155213171	1
W4200399668	W2157108014	1
W4200399668	W2159240874	1
W4200399668	W2161288147	1
W4200399668	W2161691215	1
W4200399668	W2162304282	1
W4200399668	W2168307960	1
W4200399668	W2169047134	1
W4200399668	W2169109050	1
W4200399668	W2169178654	1
W4200399668	W2171759509	1
W4200399668	W2174117054	1
W4200399668	W2185623027	1
W4200399668	W2196314719	1
W4200399668	W2200746124	1
W4200399668	W2259177389	1
W4200399668	W2279876591	1
W4200399668	W2289996588	1
W4200399668	W2303850821	1
W4200399668	W2334963168	1
W4200399668	W2400517300	1
W4200399668	W2402403182	1
W4200399668	W2407954654	1
W4200399668	W2416698490	1
W4200399668	W2428009260	1
W4200399668	W2438937308	1
W4200399668	W2439130931	1
W4200399668	W2462319068	1
W4200399668	W2466671176	1
W4200399668	W2470397711	1
W4200399668	W2472109575	1
W4200399668	W2474121502	1
W4200399668	W2478562489	1
W4200399668	W2489957719	1
W4200399668	W2604301674	1
W4200399668	W2605689714	1
W4200399668	W2616362470	1
W2667195229	W4200399668	1
W4200399668	W2749935102	1
W4200399668	W2770429290	1
W4200399668	W2773217643	1
W4200399668	W2789908914	1
W4200399668	W2888657694	1
W4200399668	W2896597736	1
W4200399668	W2900493819	1
W4200399668	W2903465385	1
W4200399668	W2972514463	1
W4200399668	W2984132113	1
W4200399668	W2989071828	1
W4200399668	W3049300730	1
W4200399668	W3084939933	1
W4200399668	W3093331001	1
W4200399668	W3108707268	1
W4200399668	W3126384063	1
W4200399668	W3174821923	1
W4200399668	W4245017765	1
W4200399668	W4248489947	1
W2115162941	W131030061	1
W2115162941	W1507199205	1
W2115162941	W1637203540	1
W2115162941	W1724705168	1
W2115162941	W1814966798	1
W2115162941	W1878589647	1
W2115162941	W1967425026	1
W2115162941	W1977331952	1
W2115162941	W1981932940	1
W2115162941	W2020910495	1
W2115162941	W2026055416	1
W2115162941	W2033226680	1
W2115162941	W2037050168	1
W2115162941	W2045391660	1
W2115162941	W2049230750	1
W2115162941	W2069091115	1
W2115162941	W2091280544	1
W2115162941	W2103458434	1
W2115162941	W2104865505	1
W2115162941	W2106064561	1
W2115162941	W2110198466	1
W2115162941	W2113386433	1
W2115162941	W2115682148	1
W2115162941	W2140497618	1
W2115162941	W2143289029	1
W2115162941	W2143314240	1
W2115162941	W2149784701	1
W2115162941	W2154088722	1
W2115162941	W2155180319	1
W2115162941	W2157108014	1
W2115162941	W2159240874	1
W2115162941	W2162304282	1
W2115162941	W2164723986	1
W2115162941	W2168307960	1
W2115162941	W2169109050	1
W2115162941	W2174117054	1
W2115162941	W2185623027	1
W2115162941	W2474121502	1
W2654090317	W1482575233	1
W2654090317	W1549689122	1
W2654090317	W1553786746	1
W2654090317	W1820338024	1
W2654090317	W1969232476	1
W2654090317	W1975079024	1
W2654090317	W1986168208	1
W2654090317	W2006207808	1
W2654090317	W2025842514	1
W2654090317	W2049855535	1
W2654090317	W2052210110	1
W2654090317	W2056290204	1
W2654090317	W2073046238	1
W2654090317	W2079636899	1
W2654090317	W2083831782	1
W2654090317	W2106518363	1
W2654090317	W2108315391	1
W2654090317	W2120168261	1
W2654090317	W2129945286	1
W2654090317	W2137492084	1
W2654090317	W2142656730	1
W2654090317	W2156063246	1
W2654090317	W2168741747	1
W2654090317	W3198263178	1
W2667195229	W1497688683	1
W2667195229	W1512811199	1
W2667195229	W1814966798	1
W2667195229	W1829502189	1
W2667195229	W1895590810	1
W2667195229	W1972697076	1
W2667195229	W1975840128	1
W2667195229	W1985940938	1
W2667195229	W1994097308	1
W2667195229	W1999560196	1
W2667195229	W2006008614	1
W2667195229	W2014729386	1
W2667195229	W2018959254	1
W2667195229	W2033714640	1
W2667195229	W2037050168	1
W2667195229	W2050605088	1
W2667195229	W2056290204	1
W2667195229	W2062365428	1
W2667195229	W2064257383	1
W2667195229	W2092114155	1
W2667195229	W2093435740	1
W2667195229	W2095276281	1
W2667195229	W2103127878	1
W2667195229	W2103458434	1
W2667195229	W2113386433	1
W2667195229	W2127110152	1
W2667195229	W2129945286	1
W2667195229	W2133970449	1
W2667195229	W2140497618	1
W2667195229	W2143289029	1
W2667195229	W2143314240	1
W2667195229	W2149784701	1
W2667195229	W2155180319	1
W2667195229	W2155213171	1
W2667195229	W2159240874	1
W2667195229	W2162304282	1
W2667195229	W2466671176	1
W3034119839	W170956600	1
W3034119839	W1559505189	1
W1724705168	W3034119839	1
W1735741754	W3034119839	1
W3034119839	W1974859321	1
W3034119839	W1976915307	1
W3034119839	W2018959254	1
W3034119839	W2022437069	1
